"","topic","term","beta"
"185",4,"pretty",0.00274191077546442
"186",4,"house",0.00273714120645748
"187",4,"morning",0.00265618343019631
"188",4,"parking",0.00259859900136606
"189",4,"hour",0.00255338040678726
"190",4,"beer",0.00254827498800772
"191",4,"pork",0.00253762343398709
"192",4,"check",0.0024727433977105
"193",4,"started",0.00232882073964215
"194",4,"bar",0.0023241899165688
"195",4,"drinks",0.00231205357581429
"196",4,"inside",0.00230290181436815
"197",4,"plate",0.00229981982455112
"198",4,"meat",0.00226007215307657
"199",4,"pizza",0.0022550182927179
"200",4,"bit",0.00224949567296025
"201",5,"service",0.0135636614361365
"202",5,"coffee",0.00855892960214279
"203",5,"eat",0.00698630673205001
"204",5,"breakfast",0.00651205843570133
"205",5,"nice",0.00637644359490073
"206",5,"meal",0.00570011009542847
"207",5,"table",0.00567731739708145
"208",5,"sandwich",0.00555590337521671
"209",5,"pretty",0.00547911335463989
"210",5,"bar",0.00522622117883829
"211",5,"day",0.00474325567683571
"212",5,"experience",0.00469357654167726
"213",5,"spot",0.00417680543064622
"214",5,"tables",0.00412923903549077
"215",5,"wait",0.00401704923896704
"216",5,"visit",0.00400495763992178
"217",5,"drinks",0.00385143930176521
"218",5,"lunch",0.0038209379065001
"219",5,"people",0.00381717394708876
"220",5,"amazing",0.00376712708373271
"221",5,"salad",0.00375354339699439
"222",5,"hot",0.003504178573072
"223",5,"fried",0.00349684425788432
"224",5,"happy",0.00339696776547032
"225",5,"bread",0.00335945087262658
"226",5,"bacon",0.00330794469009373
"227",5,"eggs",0.00325934797345557
"228",5,"cream",0.00314396416457276
"229",5,"special",0.00307434998113498
"230",5,"sweet",0.00301097913945404
"231",5,"time",0.00297735970307922
"232",5,"cheese",0.00295312499444244
"233",5,"delicious",0.00294067528615556
"234",5,"toast",0.00290112699238053
"235",5,"times",0.00281299152674286
"236",5,"friends",0.0027291874567561
"237",5,"awesome",0.00271785114691711
"238",5,"egg",0.00268697346674206
"239",5,"dinner",0.00267523260340432
"240",5,"menu",0.00262278265263855
"241",5,"sauce",0.00257058882284374
"242",5,"food",0.00255619819330958
"243",5,"bad",0.00253931595464398
"244",5,"pork",0.00248361865789253
"245",5,"huge",0.0024485508849827
"246",5,"super",0.0023322803856582
"247",5,"plate",0.0022469542615102
"248",5,"decided",0.0022395733395583
"249",5,"hour",0.00219194693052032
"250",5,"leave",0.0021678444174387
"251",6,"food",0.0187290428151076
"252",6,"menu",0.0106401455220439
"253",6,"breakfast",0.0105243523668374
"254",6,"service",0.0102131022952262
"255",6,"restaurant",0.00745924200771672
"256",6,"wait",0.00671411700672733
