topic,term,beta
3,dough,1.4995294798686738e-4
4,dough,2.1772493986857783e-4
1,focaccia,1.8198731472853853e-5
2,focaccia,2.7484938620149693e-5
3,focaccia,3.517628709752503e-5
4,focaccia,6.067888063133896e-5
1,capers,6.381427490505683e-5
2,capers,6.444155952549952e-5
3,capers,3.0301849070848254e-5
4,capers,4.9531252327773534e-5
1,mixed,3.3586822936543866e-4
2,mixed,2.561503279141783e-4
3,mixed,6.28065463948909e-4
4,mixed,5.154390589486408e-4
1,plain,5.924021980614715e-4
2,plain,1.6396285282029084e-4
3,plain,4.368109960887586e-5
4,plain,3.337421577300758e-4
1,root,9.017384657009485e-5
2,root,2.2635849882383473e-5
3,root,9.518356466301327e-5
4,root,1.6647319018730966e-5
1,rolls,5.633784010619658e-5
2,rolls,3.600591802900014e-4
3,rolls,3.398502308219097e-4
4,rolls,2.7616909461888526e-4
1,cheesecake,1.7284673204206395e-4
2,cheesecake,1.6267617274755197e-4
3,cheesecake,2.7323134119653606e-4
4,cheesecake,8.929593486336407e-5
1,patty,2.489718770383242e-4
2,patty,8.836285963143463e-5
3,patty,1.4797880169155602e-4
4,patty,2.960486992517555e-4
1,salmon,8.417702103699771e-4
2,salmon,6.132162309985053e-4
3,salmon,7.904862032127847e-4
4,salmon,2.291647259508325e-4
1,malt,1.6554311108405305e-5
2,malt,6.730076673226023e-6
3,malt,5.004265370267472e-5
4,malt,1.1973433982243165e-5
1,muffin,2.2860683767505105e-5
2,muffin,1.8672489215988724e-4
3,muffin,5.261684290392803e-4
4,muffin,3.4968436627149676e-4
1,scrapple,4.8822374655473686e-5
2,scrapple,7.144854483020219e-5
3,scrapple,1.074575974718509e-4
4,scrapple,7.194150246606479e-5
1,toppings,3.693929831748976e-5
2,toppings,5.468316350837231e-5
3,toppings,3.470378084633322e-4
4,toppings,5.3659970247504e-4
1,orange,3.78742438314794e-4
2,orange,7.224155585471257e-4
3,orange,2.588158755778872e-4
4,orange,3.0492001213612585e-4
1,blueberry,5.15453014231797e-5
2,blueberry,8.54265800447804e-4
3,blueberry,1.6730839743752185e-4
4,blueberry,5.515387004175506e-5
1,guacamole,1.6400610655677825e-4
2,guacamole,4.4927291856868196e-4
3,guacamole,1.5468007746185608e-4
4,guacamole,1.3113032567498795e-4
1,pulled,1.505743735990168e-4
2,pulled,7.320835767161333e-4
3,pulled,2.474519355958397e-4
4,pulled,1.6869485150546905e-4
1,clam,2.176614673525752e-5
2,clam,1.3571709306339658e-4
3,clam,1.2113324724131352e-4
4,clam,1.0958629065887063e-4
1,tortillas,6.438471680107235e-5
2,tortillas,1.3637864911201928e-4
3,tortillas,2.5133221925715155e-4
4,tortillas,1.160326968809142e-4
1,rose,3.178855080334278e-5
2,rose,2.6932141784907232e-5
3,rose,1.090493828885397e-4
4,rose,2.246219960762616e-4
1,tamales,5.7476892921148943e-05
2,tamales,5.295468804854715e-5
3,tamales,1.410259442999571e-5
4,tamales,2.735633177696511e-5
1,quail,4.082259634531891e-5
2,quail,3.529478427378967e-5
3,quail,7.960881801220626e-5
4,quail,4.611516313172994e-5
1,veggie,6.170325552387158e-4
2,veggie,1.349747795420278e-4
3,veggie,7.17534650963635e-4
4,veggie,1.7997944774125068e-4
1,lasagna,1.1951354040937859e-4
2,lasagna,1.4782946164545977e-5
3,lasagna,2.3226637987075634e-6
4,lasagna,7.036329815838903e-5
1,barbecue,7.521535504702371e-5
